Int32;Int32;;
-824727615;-824727615;Да;ИСТИНА
-824296208;-824296208;Да;ИСТИНА
-823117869;-823117869;Да;ИСТИНА
-822473071;-822473071;Да;ИСТИНА
-821972228;-821972228;Да;ИСТИНА
-821590031;-821590031;Да;ИСТИНА
-821583751;-821583751;Да;ИСТИНА
-821405306;-821405306;Да;ИСТИНА
-817230557;-817230557;Да;ИСТИНА
-816810814;-816810814;Да;ИСТИНА
-816020110;-816020110;Да;ИСТИНА
-814846238;-814846238;Да;ИСТИНА
-814511351;-814511351;Да;ИСТИНА
-814323216;-814323216;Да;ИСТИНА
-813542155;-813542155;Да;ИСТИНА
-813319439;-813319439;Да;ИСТИНА
-812870694;-812870694;Да;ИСТИНА
-812709682;-812709682;Да;ИСТИНА
-812596782;-812596782;Да;ИСТИНА
-808780758;-808780758;Да;ИСТИНА
-807203231;-807203231;Да;ИСТИНА
-805906184;-805906184;Да;ИСТИНА
-805259203;-805259203;Да;ИСТИНА
-803593928;-803593928;Да;ИСТИНА
-803348480;-803348480;Да;ИСТИНА
-803038769;-803038769;Да;ИСТИНА
-802825732;-802825732;Да;ИСТИНА
-802298860;-802298860;Да;ИСТИНА
-802053167;-802053167;Да;ИСТИНА
-800287162;-800287162;Да;ИСТИНА
-800144236;-800144236;Да;ИСТИНА
-799043702;-799043702;Да;ИСТИНА
-798084453;-798084453;Да;ИСТИНА
-797332647;-797332647;Да;ИСТИНА
-797212990;-797212990;Да;ИСТИНА
-797161398;-797161398;Да;ИСТИНА
-795846198;-795846198;Да;ИСТИНА
-794898408;-794898408;Да;ИСТИНА
-794850742;-794850742;Да;ИСТИНА
-794847198;-794847198;Да;ИСТИНА
-794173429;-794173429;Да;ИСТИНА
-793834612;-793834612;Да;ИСТИНА
-793056824;-793056824;Да;ИСТИНА
-793011754;-793011754;Да;ИСТИНА
-792303486;-792303486;Да;ИСТИНА
-789414366;-789414366;Да;ИСТИНА
-789219555;-789219555;Да;ИСТИНА
-788362214;-788362214;Да;ИСТИНА
-788231568;-788231568;Да;ИСТИНА
-787673236;-787673236;Да;ИСТИНА
-787353484;-787353484;Да;ИСТИНА
-787100099;-787100099;Да;ИСТИНА
-784892797;-784892797;Да;ИСТИНА
-783521292;-783521292;Да;ИСТИНА
-781994179;-781994179;Да;ИСТИНА
-781930925;-781930925;Да;ИСТИНА
-781254821;-781254821;Да;ИСТИНА
-780120580;-780120580;Да;ИСТИНА
-777735895;-777735895;Да;ИСТИНА
-777654747;-777654747;Да;ИСТИНА
-776359727;-776359727;Да;ИСТИНА
-775947066;-775947066;Да;ИСТИНА
-775823347;-775823347;Да;ИСТИНА
-775684601;-775684601;Да;ИСТИНА
-773304631;-773304631;Да;ИСТИНА
-771190800;-771190800;Да;ИСТИНА
-770291606;-770291606;Да;ИСТИНА
-770202460;-770202460;Да;ИСТИНА
-768797749;-768797749;Да;ИСТИНА
-768759725;-768759725;Да;ИСТИНА
-767774897;-767774897;Да;ИСТИНА
-766593569;-766593569;Да;ИСТИНА
-766299194;-766299194;Да;ИСТИНА
-764969480;-764969480;Да;ИСТИНА
-763401836;-763401836;Да;ИСТИНА
-762825187;-762825187;Да;ИСТИНА
-760659306;-760659306;Да;ИСТИНА
-760142722;-760142722;Да;ИСТИНА
-760040808;-760040808;Да;ИСТИНА
-757916029;-757916029;Да;ИСТИНА
-757485596;-757485596;Да;ИСТИНА
-757398418;-757398418;Да;ИСТИНА
-754911763;-754911763;Да;ИСТИНА
-754830214;-754830214;Да;ИСТИНА
-753479765;-753479765;Да;ИСТИНА
-753299648;-753299648;Да;ИСТИНА
-750898745;-750898745;Да;ИСТИНА
-750738141;-750738141;Да;ИСТИНА
-749346232;-749346232;Да;ИСТИНА
-749241531;-749241531;Да;ИСТИНА
-748293109;-748293109;Да;ИСТИНА
-748153226;-748153226;Да;ИСТИНА
-748149524;-748149524;Да;ИСТИНА
-747032473;-747032473;Да;ИСТИНА
-747002289;-747002289;Да;ИСТИНА
-746143931;-746143931;Да;ИСТИНА
-745733731;-745733731;Да;ИСТИНА
-744452708;-744452708;Да;ИСТИНА
-742366448;-742366448;Да;ИСТИНА
-741396986;-741396986;Да;ИСТИНА
-740468448;-740468448;Да;ИСТИНА
-740076583;-740076583;Да;ИСТИНА
-739715069;-739715069;Да;ИСТИНА
-739629374;-739629374;Да;ИСТИНА
-738699732;-738699732;Да;ИСТИНА
-737825490;-737825490;Да;ИСТИНА
-736319672;-736319672;Да;ИСТИНА
-736116729;-736116729;Да;ИСТИНА
-735114382;-735114382;Да;ИСТИНА
-733259766;-733259766;Да;ИСТИНА
-733146742;-733146742;Да;ИСТИНА
-732744954;-732744954;Да;ИСТИНА
-731668111;-731668111;Да;ИСТИНА
-731237891;-731237891;Да;ИСТИНА
-730984243;-730984243;Да;ИСТИНА
-728937998;-728937998;Да;ИСТИНА
-724729196;-724729196;Да;ИСТИНА
-724094909;-724094909;Да;ИСТИНА
-724062819;-724062819;Да;ИСТИНА
-723831762;-723831762;Да;ИСТИНА
-723395275;-723395275;Да;ИСТИНА
-723224183;-723224183;Да;ИСТИНА
-723068389;-723068389;Да;ИСТИНА
-721975405;-721975405;Да;ИСТИНА
-720524360;-720524360;Да;ИСТИНА
-719819593;-719819593;Да;ИСТИНА
-719136279;-719136279;Да;ИСТИНА
-716030723;-716030723;Да;ИСТИНА
-715459046;-715459046;Да;ИСТИНА
-713896408;-713896408;Да;ИСТИНА
-713772374;-713772374;Да;ИСТИНА
-713330597;-713330597;Да;ИСТИНА
-712191900;-712191900;Да;ИСТИНА
-712083451;-712083451;Да;ИСТИНА
-709687993;-709687993;Да;ИСТИНА
-708615319;-708615319;Да;ИСТИНА
-707999649;-707999649;Да;ИСТИНА
-707336350;-707336350;Да;ИСТИНА
-707015787;-707015787;Да;ИСТИНА
-706069328;-706069328;Да;ИСТИНА
-704837880;-704837880;Да;ИСТИНА
-704621769;-704621769;Да;ИСТИНА
-703933455;-703933455;Да;ИСТИНА
-702965692;-702965692;Да;ИСТИНА
-702642745;-702642745;Да;ИСТИНА
-700342446;-700342446;Да;ИСТИНА
-699768774;-699768774;Да;ИСТИНА
-699312820;-699312820;Да;ИСТИНА
-698618445;-698618445;Да;ИСТИНА
-697356529;-697356529;Да;ИСТИНА
-696064566;-696064566;Да;ИСТИНА
-696025505;-696025505;Да;ИСТИНА
-695874800;-695874800;Да;ИСТИНА
-694422673;-694422673;Да;ИСТИНА
-693634815;-693634815;Да;ИСТИНА
-690171775;-690171775;Да;ИСТИНА
-688356007;-688356007;Да;ИСТИНА
-687362238;-687362238;Да;ИСТИНА
-685209712;-685209712;Да;ИСТИНА
-684678377;-684678377;Да;ИСТИНА
-684635275;-684635275;Да;ИСТИНА
-683577856;-683577856;Да;ИСТИНА
-683420628;-683420628;Да;ИСТИНА
-682930568;-682930568;Да;ИСТИНА
-682903294;-682903294;Да;ИСТИНА
-682599606;-682599606;Да;ИСТИНА
-682584731;-682584731;Да;ИСТИНА
-680706919;-680706919;Да;ИСТИНА
-680627190;-680627190;Да;ИСТИНА
-679571590;-679571590;Да;ИСТИНА
-678696990;-678696990;Да;ИСТИНА
-675647409;-675647409;Да;ИСТИНА
-674824718;-674824718;Да;ИСТИНА
-673557882;-673557882;Да;ИСТИНА
-672677793;-672677793;Да;ИСТИНА
-672646799;-672646799;Да;ИСТИНА
-672538023;-672538023;Да;ИСТИНА
-671853731;-671853731;Да;ИСТИНА
-670303387;-670303387;Да;ИСТИНА
-669404340;-669404340;Да;ИСТИНА
-669325455;-669325455;Да;ИСТИНА
-666992741;-666992741;Да;ИСТИНА
-665451786;-665451786;Да;ИСТИНА
-665254794;-665254794;Да;ИСТИНА
-663809417;-663809417;Да;ИСТИНА
-663294039;-663294039;Да;ИСТИНА
-662775885;-662775885;Да;ИСТИНА
-662582130;-662582130;Да;ИСТИНА
-662472303;-662472303;Да;ИСТИНА
-661762887;-661762887;Да;ИСТИНА
-661600329;-661600329;Да;ИСТИНА
-661221944;-661221944;Да;ИСТИНА
-660325059;-660325059;Да;ИСТИНА
-660290787;-660290787;Да;ИСТИНА
-659294925;-659294925;Да;ИСТИНА
-657329625;-657329625;Да;ИСТИНА
-656876800;-656876800;Да;ИСТИНА
-656484505;-656484505;Да;ИСТИНА
-655145484;-655145484;Да;ИСТИНА
-652750828;-652750828;Да;ИСТИНА
-652302713;-652302713;Да;ИСТИНА
-651234022;-651234022;Да;ИСТИНА
-650874961;-650874961;Да;ИСТИНА
-648357965;-648357965;Да;ИСТИНА
-647908671;-647908671;Да;ИСТИНА
-646315443;-646315443;Да;ИСТИНА
-646084228;-646084228;Да;ИСТИНА
-645028790;-645028790;Да;ИСТИНА
-643744257;-643744257;Да;ИСТИНА
-642962004;-642962004;Да;ИСТИНА
-642758269;-642758269;Да;ИСТИНА
-642610770;-642610770;Да;ИСТИНА
-642567163;-642567163;Да;ИСТИНА
-642551271;-642551271;Да;ИСТИНА
-642090348;-642090348;Да;ИСТИНА
-641142603;-641142603;Да;ИСТИНА
-640748927;-640748927;Да;ИСТИНА
-640653987;-640653987;Да;ИСТИНА
-640458894;-640458894;Да;ИСТИНА
-640408336;-640408336;Да;ИСТИНА
-638716763;-638716763;Да;ИСТИНА
-638467925;-638467925;Да;ИСТИНА
-637313485;-637313485;Да;ИСТИНА
-637308475;-637308475;Да;ИСТИНА
-636723015;-636723015;Да;ИСТИНА
-636534769;-636534769;Да;ИСТИНА
-636320747;-636320747;Да;ИСТИНА
-634821458;-634821458;Да;ИСТИНА
-633173263;-633173263;Да;ИСТИНА
-631877556;-631877556;Да;ИСТИНА
-631443197;-631443197;Да;ИСТИНА
-630970606;-630970606;Да;ИСТИНА
-630087852;-630087852;Да;ИСТИНА
-629296851;-629296851;Да;ИСТИНА
-628946862;-628946862;Да;ИСТИНА
-628059418;-628059418;Да;ИСТИНА
-626861370;-626861370;Да;ИСТИНА
-626746214;-626746214;Да;ИСТИНА
-626334401;-626334401;Да;ИСТИНА
-626191243;-626191243;Да;ИСТИНА
-623117677;-623117677;Да;ИСТИНА
-622478071;-622478071;Да;ИСТИНА
-621914833;-621914833;Да;ИСТИНА
-621841346;-621841346;Да;ИСТИНА
-621522780;-621522780;Да;ИСТИНА
-620628212;-620628212;Да;ИСТИНА
-620045612;-620045612;Да;ИСТИНА
-617547746;-617547746;Да;ИСТИНА
-616364560;-616364560;Да;ИСТИНА
-616262866;-616262866;Да;ИСТИНА
-614462599;-614462599;Да;ИСТИНА
-611480595;-611480595;Да;ИСТИНА
-610788778;-610788778;Да;ИСТИНА
-609464109;-609464109;Да;ИСТИНА
-608964379;-608964379;Да;ИСТИНА
-607747562;-607747562;Да;ИСТИНА
-606515506;-606515506;Да;ИСТИНА
-606381020;-606381020;Да;ИСТИНА
-606062195;-606062195;Да;ИСТИНА
-605900387;-605900387;Да;ИСТИНА
-605233927;-605233927;Да;ИСТИНА
-602593496;-602593496;Да;ИСТИНА
-602426429;-602426429;Да;ИСТИНА
-601899321;-601899321;Да;ИСТИНА
-600799023;-600799023;Да;ИСТИНА
-600580558;-600580558;Да;ИСТИНА
-600177522;-600177522;Да;ИСТИНА
-599870446;-599870446;Да;ИСТИНА
-598993920;-598993920;Да;ИСТИНА
-597281573;-597281573;Да;ИСТИНА
-597191341;-597191341;Да;ИСТИНА
-596661632;-596661632;Да;ИСТИНА
-596057398;-596057398;Да;ИСТИНА
-595786295;-595786295;Да;ИСТИНА
-594286899;-594286899;Да;ИСТИНА
-590322435;-590322435;Да;ИСТИНА
-590312569;-590312569;Да;ИСТИНА
-589746915;-589746915;Да;ИСТИНА
-588762492;-588762492;Да;ИСТИНА
-586555497;-586555497;Да;ИСТИНА
-585348392;-585348392;Да;ИСТИНА
-585247458;-585247458;Да;ИСТИНА
-584446317;-584446317;Да;ИСТИНА
-583830770;-583830770;Да;ИСТИНА
-582108125;-582108125;Да;ИСТИНА
-581917602;-581917602;Да;ИСТИНА
-581010433;-581010433;Да;ИСТИНА
-580872780;-580872780;Да;ИСТИНА
-580768241;-580768241;Да;ИСТИНА
-580565633;-580565633;Да;ИСТИНА
-578757730;-578757730;Да;ИСТИНА
-577961646;-577961646;Да;ИСТИНА
-577834768;-577834768;Да;ИСТИНА
-576904506;-576904506;Да;ИСТИНА
-576628977;-576628977;Да;ИСТИНА
-573079716;-573079716;Да;ИСТИНА
-571195588;-571195588;Да;ИСТИНА
-571164926;-571164926;Да;ИСТИНА
-570564991;-570564991;Да;ИСТИНА
-569285734;-569285734;Да;ИСТИНА
-568887544;-568887544;Да;ИСТИНА
-567132459;-567132459;Да;ИСТИНА
-566781535;-566781535;Да;ИСТИНА
-566668552;-566668552;Да;ИСТИНА
-566598160;-566598160;Да;ИСТИНА
-565760679;-565760679;Да;ИСТИНА
-565287763;-565287763;Да;ИСТИНА
-565158159;-565158159;Да;ИСТИНА
-564745888;-564745888;Да;ИСТИНА
-563349345;-563349345;Да;ИСТИНА
-561235219;-561235219;Да;ИСТИНА
-560735291;-560735291;Да;ИСТИНА
-559598592;-559598592;Да;ИСТИНА
-558285170;-558285170;Да;ИСТИНА
-556779426;-556779426;Да;ИСТИНА
-555488190;-555488190;Да;ИСТИНА
-555152301;-555152301;Да;ИСТИНА
-553832254;-553832254;Да;ИСТИНА
-552449907;-552449907;Да;ИСТИНА
-551487672;-551487672;Да;ИСТИНА
-549724220;-549724220;Да;ИСТИНА
-548745836;-548745836;Да;ИСТИНА
-547868183;-547868183;Да;ИСТИНА
-547104825;-547104825;Да;ИСТИНА
-546264941;-546264941;Да;ИСТИНА
-546136115;-546136115;Да;ИСТИНА
-545742659;-545742659;Да;ИСТИНА
-545291174;-545291174;Да;ИСТИНА
-541506246;-541506246;Да;ИСТИНА
-541144621;-541144621;Да;ИСТИНА
-540425233;-540425233;Да;ИСТИНА
-537440920;-537440920;Да;ИСТИНА
-536868807;-536868807;Да;ИСТИНА
-535997842;-535997842;Да;ИСТИНА
-535757500;-535757500;Да;ИСТИНА
-535387027;-535387027;Да;ИСТИНА
-534041869;-534041869;Да;ИСТИНА
-533326012;-533326012;Да;ИСТИНА
-532111013;-532111013;Да;ИСТИНА
-529605556;-529605556;Да;ИСТИНА
-528550527;-528550527;Да;ИСТИНА
-526996556;-526996556;Да;ИСТИНА
-524354066;-524354066;Да;ИСТИНА
-523548229;-523548229;Да;ИСТИНА
-523155788;-523155788;Да;ИСТИНА
-520824478;-520824478;Да;ИСТИНА
-520365619;-520365619;Да;ИСТИНА
-520074122;-520074122;Да;ИСТИНА
-519947456;-519947456;Да;ИСТИНА
-519717184;-519717184;Да;ИСТИНА
-518631531;-518631531;Да;ИСТИНА
-518588997;-518588997;Да;ИСТИНА
-511804937;-511804937;Да;ИСТИНА
-509774904;-509774904;Да;ИСТИНА
-509632978;-509632978;Да;ИСТИНА
-509191174;-509191174;Да;ИСТИНА
-508465657;-508465657;Да;ИСТИНА
-507792982;-507792982;Да;ИСТИНА
-506896904;-506896904;Да;ИСТИНА
-506667781;-506667781;Да;ИСТИНА
-505211315;-505211315;Да;ИСТИНА
-505076822;-505076822;Да;ИСТИНА
-504927102;-504927102;Да;ИСТИНА
-504424261;-504424261;Да;ИСТИНА
-504188178;-504188178;Да;ИСТИНА
-503953857;-503953857;Да;ИСТИНА
-503618192;-503618192;Да;ИСТИНА
-502117951;-502117951;Да;ИСТИНА
-501093111;-501093111;Да;ИСТИНА
-500570694;-500570694;Да;ИСТИНА
-499615413;-499615413;Да;ИСТИНА
-499408353;-499408353;Да;ИСТИНА
-499070321;-499070321;Да;ИСТИНА
-498630161;-498630161;Да;ИСТИНА
-493605056;-493605056;Да;ИСТИНА
-491997701;-491997701;Да;ИСТИНА
-490973945;-490973945;Да;ИСТИНА
-490546871;-490546871;Да;ИСТИНА
-490261502;-490261502;Да;ИСТИНА
-490220393;-490220393;Да;ИСТИНА
-488109702;-488109702;Да;ИСТИНА
-487085926;-487085926;Да;ИСТИНА
-486693226;-486693226;Да;ИСТИНА
-486681413;-486681413;Да;ИСТИНА
-486293981;-486293981;Да;ИСТИНА
-484680082;-484680082;Да;ИСТИНА
-484452336;-484452336;Да;ИСТИНА
-483777463;-483777463;Да;ИСТИНА
-483268773;-483268773;Да;ИСТИНА
-483017583;-483017583;Да;ИСТИНА
-482723065;-482723065;Да;ИСТИНА
-482246602;-482246602;Да;ИСТИНА
-481803419;-481803419;Да;ИСТИНА
-481604571;-481604571;Да;ИСТИНА
-480387283;-480387283;Да;ИСТИНА
-479950107;-479950107;Да;ИСТИНА
-476544782;-476544782;Да;ИСТИНА
-475692896;-475692896;Да;ИСТИНА
-474569349;-474569349;Да;ИСТИНА
-474551238;-474551238;Да;ИСТИНА
-474331224;-474331224;Да;ИСТИНА
-473698311;-473698311;Да;ИСТИНА
-473648987;-473648987;Да;ИСТИНА
-473404219;-473404219;Да;ИСТИНА
-473353667;-473353667;Да;ИСТИНА
-472793729;-472793729;Да;ИСТИНА
-472358110;-472358110;Да;ИСТИНА
-471980411;-471980411;Да;ИСТИНА
-471720395;-471720395;Да;ИСТИНА
-471058940;-471058940;Да;ИСТИНА
-469236032;-469236032;Да;ИСТИНА
-468863463;-468863463;Да;ИСТИНА
-468049599;-468049599;Да;ИСТИНА
-467048329;-467048329;Да;ИСТИНА
-466932972;-466932972;Да;ИСТИНА
-466356065;-466356065;Да;ИСТИНА
-466315578;-466315578;Да;ИСТИНА
-466226563;-466226563;Да;ИСТИНА
-465927051;-465927051;Да;ИСТИНА
-464672168;-464672168;Да;ИСТИНА
-463779692;-463779692;Да;ИСТИНА
-461029660;-461029660;Да;ИСТИНА
-460420463;-460420463;Да;ИСТИНА
-459533422;-459533422;Да;ИСТИНА
-457903867;-457903867;Да;ИСТИНА
-457492337;-457492337;Да;ИСТИНА
-457161639;-457161639;Да;ИСТИНА
-456623987;-456623987;Да;ИСТИНА
-455107157;-455107157;Да;ИСТИНА
-454860961;-454860961;Да;ИСТИНА
-454450300;-454450300;Да;ИСТИНА
-452940374;-452940374;Да;ИСТИНА
-452126869;-452126869;Да;ИСТИНА
-451336800;-451336800;Да;ИСТИНА
-450248978;-450248978;Да;ИСТИНА
-446547024;-446547024;Да;ИСТИНА
-446526416;-446526416;Да;ИСТИНА
-446126249;-446126249;Да;ИСТИНА
-445697943;-445697943;Да;ИСТИНА
-445351620;-445351620;Да;ИСТИНА
-444605132;-444605132;Да;ИСТИНА
-444561009;-444561009;Да;ИСТИНА
-443808518;-443808518;Да;ИСТИНА
-443495741;-443495741;Да;ИСТИНА
-442929965;-442929965;Да;ИСТИНА
-442497179;-442497179;Да;ИСТИНА
-439395463;-439395463;Да;ИСТИНА
-438885172;-438885172;Да;ИСТИНА
-438875143;-438875143;Да;ИСТИНА
-438416354;-438416354;Да;ИСТИНА
-438042579;-438042579;Да;ИСТИНА
-437854971;-437854971;Да;ИСТИНА
-437123401;-437123401;Да;ИСТИНА
-437113890;-437113890;Да;ИСТИНА
-435908027;-435908027;Да;ИСТИНА
-434981895;-434981895;Да;ИСТИНА
-434926978;-434926978;Да;ИСТИНА
-434124922;-434124922;Да;ИСТИНА
-433919994;-433919994;Да;ИСТИНА
-431942166;-431942166;Да;ИСТИНА
-430664876;-430664876;Да;ИСТИНА
-429996693;-429996693;Да;ИСТИНА
-428853250;-428853250;Да;ИСТИНА
-428677383;-428677383;Да;ИСТИНА
